player_id,player_name,season,team_name,position,height,weight,birth_date,age,games,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,fg_pct,three_pct,ft_pct,offensive_rating,defensive_rating,net_rating,true_shooting_pct,usage_rate,plus_minus,finals_appearances,championships,era
947,Allen Iverson,2000-01,PHI,Guard,6-0,165,1975-06-07,25,71.0,41.9,31.1,3.8,4.6,2.5,0.3,3.3,0.42,0.32,0.814,102.6,96.5,6.1,0.518,0.349,5.2,0,0,Early Modern Era
947,Allen Iverson,2001-02,PHI,Guard,6-0,165,1975-06-07,26,60.0,43.7,31.4,4.5,5.5,2.8,0.2,4.0,0.398,0.291,0.812,102.1,96.6,5.5,0.489,0.365,4.7,0,0,Early Modern Era
947,Allen Iverson,2002-03,PHI,Guard,6-0,165,1975-06-07,27,82.0,42.5,27.6,4.2,5.5,2.7,0.2,3.5,0.414,0.277,0.774,103.3,100.6,2.7,0.5,0.324,2.2,0,0,Early Modern Era
947,Allen Iverson,2003-04,PHI,Guard,6-0,165,1975-06-07,28,48.0,42.6,26.4,3.7,6.8,2.4,0.1,4.4,0.387,0.286,0.745,98.1,100.6,-2.5,0.478,0.339,-1.9,0,0,Early Modern Era
947,Allen Iverson,2004-05,PHI,Guard,6-0,165,1975-06-07,29,75.0,42.3,30.7,4.0,7.9,2.4,0.1,4.6,0.424,0.308,0.835,103.3,103.2,0.2,0.532,0.344,0.2,0,0,Early Modern Era
947,Allen Iverson,2005-06,PHI,Guard,6-0,165,1975-06-07,30,72.0,43.1,33.0,3.2,7.4,1.9,0.1,3.4,0.447,0.323,0.814,106.7,106.5,0.1,0.543,0.35,-0.1,0,0,Pace Transition Era
947,Allen Iverson,2006-07,DEN,Guard,6-0,165,1975-06-07,31,65.0,42.5,26.3,3.0,7.2,1.9,0.2,4.1,0.442,0.315,0.795,104.6,104.9,-0.2,0.54,0.288,-0.2,0,0,Pace Transition Era
947,Allen Iverson,2007-08,DEN,Guard,6-0,165,1975-06-07,32,82.0,41.8,26.4,3.0,7.1,2.0,0.1,3.0,0.458,0.345,0.809,109.7,104.7,5.1,0.567,0.263,4.4,0,0,Pace Transition Era
947,Allen Iverson,2008-09,DET,Guard,6-0,165,1975-06-07,33,57.0,36.7,17.5,3.0,5.0,1.5,0.1,2.6,0.417,0.283,0.781,102.1,103.6,-1.5,0.504,0.258,-0.8,0,0,Pace Transition Era
947,Allen Iverson,2009-10,PHI,Guard,6-0,165,1975-06-07,34,28.0,30.9,13.8,2.8,4.0,0.7,0.1,2.3,0.43,0.36,0.794,101.9,105.2,-3.3,0.515,0.225,-1.5,0,0,Pace Transition Era
